Date,Price,Open,High,Low,Vol.,Change %
"Dec 30, 2016",58.3,58.3,58.3,58.3,0,0
"Dec 29, 2016",58.3,58.3,58.3,58.3,0,0
"Dec 28, 2016",58.3,58.3,58.3,58.3,0,0.43
"Dec 27, 2016",58.05,58.05,58.05,58.05,0,-4.91
"Dec 23, 2016",61.05,61.05,61.05,61.05,0,0
"Dec 22, 2016",61.05,61.05,61.05,61.05,0,2.35
"Dec 21, 2016",59.65,59.65,59.65,59.65,0,0
"Dec 20, 2016",59.65,59.65,59.65,59.65,0,1.45
"Dec 19, 2016",58.8,58.8,58.8,58.8,0,0
"Dec 16, 2016",58.8,58.8,58.8,58.8,0,0.68
"Dec 15, 2016",58.4,58.4,58.4,58.4,0,0.17
"Dec 14, 2016",58.3,58.3,58.3,58.3,0,-1.1
"Dec 13, 2016",58.95,58.95,58.95,58.95,0,-0.17
"Dec 12, 2016",59.05,59.05,59.05,59.05,0,6.3
"Dec 09, 2016",55.55,55.55,55.55,55.55,0,3.54
"Dec 08, 2016",53.65,53.65,53.65,53.65,0,2.09
"Dec 07, 2016",52.55,52.55,52.55,52.55,0,-0.94
"Dec 06, 2016",53.05,53.05,53.05,53.05,0,-1.85
"Dec 05, 2016",54.05,54.05,54.05,54.05,0,2.27
"Dec 02, 2016",52.85,52.85,52.85,52.85,0,0.09
"Dec 01, 2016",52.8,52.8,52.8,52.8,0,-0.28
"Nov 30, 2016",52.95,52.95,52.95,52.95,0,-5.36
"Nov 29, 2016",55.95,55.95,55.95,55.95,0,-1.84
"Nov 28, 2016",57,57,57,57,0,-0.78
"Nov 25, 2016",57.45,57.45,57.45,57.45,0,0
"Nov 24, 2016",57.45,57.45,57.45,57.45,0,0
"Nov 23, 2016",57.45,57.45,57.45,57.45,0,0
"Nov 22, 2016",57.45,57.45,57.45,57.45,0,-1.71
"Nov 21, 2016",58.45,58.45,58.45,58.45,0,0
"Nov 18, 2016",58.45,58.45,58.45,58.45,0,-1.68
"Nov 17, 2016",59.45,59.45,59.45,59.45,0,-0.83
"Nov 16, 2016",59.95,59.95,59.95,59.95,0,-0.58
"Nov 15, 2016",60.3,60.3,60.3,60.3,0,-1.23
"Nov 14, 2016",61.05,61.05,61.05,61.05,0,0
"Nov 11, 2016",61.05,61.05,61.05,61.05,0,-0.65
"Nov 10, 2016",61.45,61.45,61.45,61.45,0,-2.07
"Nov 09, 2016",62.75,62.75,62.75,62.75,0,-0.71
"Nov 08, 2016",63.2,63.2,63.2,63.2,0,-1.63
"Nov 07, 2016",64.25,64.25,64.25,64.25,0,1.26
"Nov 04, 2016",63.45,63.45,63.45,63.45,0,0.08
"Nov 03, 2016",63.4,63.4,63.4,63.4,0,0.56
"Nov 02, 2016",63.05,63.05,63.05,63.05,0,0
"Nov 01, 2016",63.05,63.05,63.05,63.05,0,3.45
"Oct 31, 2016",60.95,60.95,60.95,60.95,0,0.25
"Oct 28, 2016",60.8,60.8,60.8,60.8,0,0.58
"Oct 27, 2016",60.45,60.45,60.45,60.45,0,-1.14
"Oct 26, 2016",61.15,61.15,61.15,61.15,0,5.34
"Oct 25, 2016",58.05,58.05,58.05,58.05,0,0.87
"Oct 24, 2016",57.55,57.55,57.55,57.55,0,0
"Oct 21, 2016",57.55,57.55,57.55,57.55,0,0
"Oct 20, 2016",57.55,57.55,57.55,57.55,0,0
"Oct 19, 2016",57.55,57.55,57.55,57.55,0,0
"Oct 18, 2016",57.55,57.55,57.55,57.55,0,1.77
"Oct 17, 2016",56.55,56.55,56.55,56.55,0,0.8
"Oct 14, 2016",56.1,56.1,56.1,56.1,0,0.9
"Oct 13, 2016",55.6,55.6,55.6,55.6,0,1
"Oct 12, 2016",55.05,55.05,55.05,55.05,0,0
"Oct 11, 2016",55.05,55.05,55.05,55.05,0,-1.78
"Oct 10, 2016",56.05,56.05,56.05,56.05,0,-1.75
"Oct 07, 2016",57.05,57.05,57.05,57.05,0,0.09
"Oct 06, 2016",57,57,57,57,0,0
"Oct 05, 2016",57,57,57,57,0,-0.09
"Oct 04, 2016",57.05,57.05,57.05,57.05,0,0.44
"Oct 03, 2016",56.8,56.8,56.8,56.8,0,-0.26
"Sep 30, 2016",56.95,56.95,56.95,56.95,0,-1.89
"Sep 29, 2016",58.05,58.05,58.05,58.05,0,1.75
"Sep 28, 2016",57.05,57.05,57.05,57.05,0,2.79
"Sep 27, 2016",55.5,55.5,55.5,55.5,0,-2.72
"Sep 26, 2016",57.05,57.05,57.05,57.05,0,-1.13
"Sep 23, 2016",57.7,57.7,57.7,57.7,0,-3.75
"Sep 22, 2016",59.95,59.95,59.95,59.95,0,3.27
"Sep 21, 2016",58.05,58.05,58.05,58.05,0,0.69
"Sep 20, 2016",57.65,57.65,57.65,57.65,0,5.49
"Sep 19, 2016",54.65,54.65,54.65,54.65,0,6.01
"Sep 16, 2016",51.55,51.55,51.55,51.55,0,0.19
"Sep 15, 2016",51.45,51.45,51.45,51.45,0,3.83
"Sep 14, 2016",49.55,49.55,49.55,49.55,0,3.34
"Sep 13, 2016",47.95,47.95,47.95,47.95,0,0.52
"Sep 12, 2016",47.7,47.7,47.7,47.7,0,0.1
"Sep 09, 2016",47.65,47.65,47.65,47.65,0,0.21
"Sep 08, 2016",47.55,47.55,47.55,47.55,0,-0.31
"Sep 07, 2016",47.7,47.7,47.7,47.7,0,-0.52
"Sep 06, 2016",47.95,47.95,47.95,47.95,0,0
"Sep 05, 2016",47.95,47.95,47.95,47.95,0,0
"Sep 02, 2016",47.95,47.95,47.95,47.95,0,0
"Sep 01, 2016",47.95,47.95,47.95,47.95,0,0.21
"Aug 31, 2016",47.85,47.85,47.85,47.85,0,-0.21
"Aug 30, 2016",47.95,47.95,47.95,47.95,0,2.35
"Aug 29, 2016",46.85,46.85,46.85,46.85,0,2.4
"Aug 26, 2016",45.75,45.75,45.75,45.75,0,-1.19
"Aug 25, 2016",46.3,46.3,46.3,46.3,0,0
"Aug 24, 2016",46.3,46.3,46.3,46.3,0,0
"Aug 23, 2016",46.3,46.3,46.3,46.3,0,1.09
"Aug 22, 2016",45.8,45.8,45.8,45.8,0,0.88
"Aug 19, 2016",45.4,45.4,45.4,45.4,0,0
"Aug 18, 2016",45.4,45.4,45.4,45.4,0,-0.87
"Aug 17, 2016",45.8,45.8,45.8,45.8,0,-0.87
"Aug 16, 2016",46.2,46.2,46.2,46.2,0,-0.11
"Aug 15, 2016",46.25,46.25,46.25,46.25,0,-0.11
"Aug 12, 2016",46.3,46.3,46.3,46.3,0,0
"Aug 11, 2016",46.3,46.3,46.3,46.3,0,0.33
"Aug 10, 2016",46.15,46.15,46.15,46.15,0,0
"Aug 09, 2016",46.15,46.15,46.15,46.15,0,0.65
"Aug 08, 2016",45.85,45.85,45.85,45.85,0,1.55
"Aug 05, 2016",45.15,45.15,45.15,45.15,0,1.35
"Aug 04, 2016",44.55,44.55,44.55,44.55,0,-0.11
"Aug 03, 2016",44.6,44.6,44.6,44.6,0,0
"Aug 02, 2016",44.6,44.6,44.6,44.6,0,1.59
"Aug 01, 2016",43.9,43.9,43.9,43.9,0,0.8
"Jul 29, 2016",43.55,43.55,43.55,43.55,0,0
"Jul 28, 2016",43.55,43.55,43.55,43.55,0,1.75
"Jul 27, 2016",42.8,42.8,42.8,42.8,0,0
"Jul 26, 2016",42.8,42.8,42.8,42.8,0,3.01
"Jul 25, 2016",41.55,41.55,41.55,41.55,0,0
"Jul 22, 2016",41.55,41.55,41.55,41.55,0,2.47
"Jul 21, 2016",40.55,40.55,40.55,40.55,0,0
"Jul 20, 2016",40.55,40.55,40.55,40.55,0,-0.12
"Jul 19, 2016",40.6,40.6,40.6,40.6,0,0
"Jul 18, 2016",40.6,40.6,40.6,40.6,0,1
"Jul 15, 2016",40.2,40.2,40.2,40.2,0,0.37
"Jul 14, 2016",40.05,40.05,40.05,40.05,0,1.14
"Jul 13, 2016",39.6,39.6,39.6,39.6,0,0.25
"Jul 12, 2016",39.5,39.5,39.5,39.5,0,0.38
"Jul 11, 2016",39.35,39.35,39.35,39.35,0,0.13
"Jul 08, 2016",39.3,39.3,39.3,39.3,0,1.95
"Jul 07, 2016",38.55,38.55,38.55,38.55,0,1.72
"Jul 06, 2016",37.9,37.9,37.9,37.9,0,0
"Jul 05, 2016",37.9,37.9,37.9,37.9,0,-2.82
"Jul 04, 2016",39,39,39,39,0,0
"Jul 01, 2016",39,39,39,39,0,0
"Jun 30, 2016",39,39,39,39,0,3.72
"Jun 29, 2016",37.6,37.6,37.6,37.6,0,0.4
"Jun 28, 2016",37.45,37.45,37.45,37.45,0,0
"Jun 27, 2016",37.45,37.45,37.45,37.45,0,1.77
"Jun 24, 2016",36.8,36.8,36.8,36.8,0,-0.67
"Jun 23, 2016",37.05,37.05,37.05,37.05,0,-1.33
"Jun 22, 2016",37.55,37.55,37.55,37.55,0,0
"Jun 21, 2016",37.55,37.55,37.55,37.55,0,0
"Jun 20, 2016",37.55,37.55,37.55,37.55,0,0
"Jun 17, 2016",37.55,37.55,37.55,37.55,0,-0.92
"Jun 16, 2016",37.9,37.9,37.9,37.9,0,-0.39
"Jun 15, 2016",38.05,38.05,38.05,38.05,0,0
"Jun 14, 2016",38.05,38.05,38.05,38.05,0,1.06
"Jun 13, 2016",37.65,37.65,37.65,37.65,0,0
"Jun 10, 2016",37.65,37.65,37.65,37.65,0,1.62
"Jun 09, 2016",37.05,37.05,37.05,37.05,0,3.93
"Jun 08, 2016",35.65,35.65,35.65,35.65,0,1.57
"Jun 07, 2016",35.1,35.1,35.1,35.1,0,2.78
"Jun 06, 2016",34.15,34.15,34.15,34.15,0,0.89
"Jun 03, 2016",33.85,33.85,33.85,33.85,0,-0.15
"Jun 02, 2016",33.9,33.9,33.9,33.9,0,-0.44
"Jun 01, 2016",34.05,34.05,34.05,34.05,0,2.1
"May 31, 2016",33.35,33.35,33.35,33.35,0,0
"May 30, 2016",33.35,33.35,33.35,33.35,0,0
"May 27, 2016",33.35,33.35,33.35,33.35,0,-0.3
"May 26, 2016",33.45,33.45,33.45,33.45,0,0.45
"May 25, 2016",33.3,33.3,33.3,33.3,0,0
"May 24, 2016",33.3,33.3,33.3,33.3,0,-0.75
"May 23, 2016",33.55,33.55,33.55,33.55,0,0
"May 20, 2016",33.55,33.55,33.55,33.55,0,0
"May 19, 2016",33.55,33.55,33.55,33.55,0,0
"May 18, 2016",33.55,33.55,33.55,33.55,0,-1.03
"May 17, 2016",33.9,33.9,33.9,33.9,0,0
"May 16, 2016",33.9,33.9,33.9,33.9,0,-0.15
"May 13, 2016",33.95,33.95,33.95,33.95,0,-0.29
"May 12, 2016",34.05,34.05,34.05,34.05,0,0
"May 11, 2016",34.05,34.05,34.05,34.05,0,-0.73
"May 10, 2016",34.3,34.3,34.3,34.3,0,0
"May 09, 2016",34.3,34.3,34.3,34.3,0,0
"May 06, 2016",34.3,34.3,34.3,34.3,0,0
"May 05, 2016",34.3,34.3,34.3,34.3,0,0
"May 04, 2016",34.3,34.3,34.3,34.3,0,0
"May 03, 2016",34.3,34.3,34.3,34.3,0,0
"May 02, 2016",34.3,34.3,34.3,34.3,0,-0.29
"Apr 29, 2016",34.4,34.4,34.4,34.4,0,0
"Apr 28, 2016",34.4,34.4,34.4,34.4,0,0
"Apr 27, 2016",34.4,34.4,34.4,34.4,0,0
"Apr 26, 2016",34.4,34.4,34.4,34.4,0,2.53
"Apr 25, 2016",33.55,33.55,33.55,33.55,0,0
"Apr 22, 2016",33.55,33.55,33.55,33.55,0,0
"Apr 21, 2016",33.55,33.55,33.55,33.55,0,0
"Apr 20, 2016",33.55,33.55,33.55,33.55,0,0
"Apr 19, 2016",33.55,33.55,33.55,33.55,0,0
"Apr 18, 2016",33.55,33.55,33.55,33.55,0,0
"Apr 15, 2016",33.55,33.55,33.55,33.55,0,0
"Apr 14, 2016",33.55,33.55,33.55,33.55,0,-1.47
"Apr 13, 2016",34.05,34.05,34.05,34.05,0,-2.16
"Apr 12, 2016",34.8,34.8,34.8,34.8,0,0
"Apr 11, 2016",34.8,34.8,34.8,34.8,0,-0.71
"Apr 08, 2016",35.05,35.05,35.05,35.05,0,0
"Apr 07, 2016",35.05,35.05,35.05,35.05,0,-4.1
"Apr 06, 2016",36.55,36.55,36.55,36.55,0,0
"Apr 05, 2016",36.55,36.55,36.55,36.55,0,-1.35
"Apr 04, 2016",37.05,37.05,37.05,37.05,0,-0.94
"Apr 01, 2016",37.4,37.4,37.4,37.4,0,-0.27
"Mar 31, 2016",37.5,37.5,37.5,37.5,0,0
"Mar 30, 2016",37.5,37.5,37.5,37.5,0,-0.4
"Mar 29, 2016",37.65,37.65,37.65,37.65,0,-0.26
"Mar 28, 2016",37.75,37.75,37.75,37.75,0,0.13
"Mar 24, 2016",37.7,37.7,37.7,37.7,0,-0.26
"Mar 23, 2016",37.8,37.8,37.8,37.8,0,-0.66
"Mar 22, 2016",38.05,38.05,38.05,38.05,0,0
"Mar 21, 2016",38.05,38.05,38.05,38.05,0,0
"Mar 18, 2016",38.05,38.05,38.05,38.05,0,0
"Mar 17, 2016",38.05,38.05,38.05,38.05,0,-0.91
"Mar 16, 2016",38.4,38.4,38.4,38.4,0,-1.41
"Mar 15, 2016",38.95,38.95,38.95,38.95,0,0.39
"Mar 14, 2016",38.8,38.8,38.8,38.8,0,1.97
"Mar 11, 2016",38.05,38.05,38.05,38.05,0,0.26
"Mar 10, 2016",37.95,37.95,37.95,37.95,0,0
"Mar 09, 2016",37.95,37.95,37.95,37.95,0,0
"Mar 08, 2016",37.95,37.95,37.95,37.95,0,-0.26
"Mar 07, 2016",38.05,38.05,38.05,38.05,0,1.33
"Mar 04, 2016",37.55,37.55,37.55,37.55,0,0.67
"Mar 03, 2016",37.3,37.3,37.3,37.3,0,0
"Mar 02, 2016",37.3,37.3,37.3,37.3,0,0
"Mar 01, 2016",37.3,37.3,37.3,37.3,0,0
"Feb 29, 2016",37.3,37.3,37.3,37.3,0,0.67
"Feb 26, 2016",37.05,37.05,37.05,37.05,0,-0.67
"Feb 25, 2016",37.3,37.3,37.3,37.3,0,0
"Feb 24, 2016",37.3,37.3,37.3,37.3,0,0
"Feb 23, 2016",37.3,37.3,37.3,37.3,0,0
