Date,Price
30-Dec-16,2.498
29-Dec-16,2.479
28-Dec-16,2.495
27-Dec-16,2.508
26-Dec-16,2.454
23-Dec-16,2.473
22-Dec-16,2.494
21-Dec-16,2.491
20-Dec-16,2.499
19-Dec-16,2.497
16-Dec-16,2.561
15-Dec-16,2.596
14-Dec-16,2.6
13-Dec-16,2.593
12-Dec-16,2.613
9-Dec-16,2.642
8-Dec-16,2.62
7-Dec-16,2.637
6-Dec-16,2.672
5-Dec-16,2.689
2-Dec-16,2.615
1-Dec-16,2.631
30-Nov-16,2.622
29-Nov-16,2.595
28-Nov-16,2.656
25-Nov-16,2.667
24-Nov-16,2.658
23-Nov-16,2.606
22-Nov-16,2.542
21-Nov-16,2.513
18-Nov-16,2.464
17-Nov-16,2.487
16-Nov-16,2.465
15-Nov-16,2.502
14-Nov-16,2.518
11-Nov-16,2.506
10-Nov-16,2.55
9-Nov-16,2.459
8-Nov-16,2.379
7-Nov-16,2.307
4-Nov-16,2.261
3-Nov-16,2.244
2-Nov-16,2.226
1-Nov-16,2.224
31-Oct-16,2.2
28-Oct-16,2.188
27-Oct-16,2.166
26-Oct-16,2.139
25-Oct-16,2.132
24-Oct-16,2.087
21-Oct-16,2.083
20-Oct-16,2.091
19-Oct-16,2.097
18-Oct-16,2.098
17-Oct-16,2.099
14-Oct-16,2.103
13-Oct-16,2.115
12-Oct-16,2.17
11-Oct-16,2.179
10-Oct-16,2.191
7-Oct-16,2.156
6-Oct-16,2.148
5-Oct-16,2.156
4-Oct-16,2.159
3-Oct-16,2.183
30-Sep-16,2.202
29-Sep-16,2.181
28-Sep-16,2.179
27-Sep-16,2.162
26-Sep-16,2.19
23-Sep-16,2.192
22-Sep-16,2.188
21-Sep-16,2.145
20-Sep-16,2.155
19-Sep-16,2.149
16-Sep-16,2.151
15-Sep-16,2.152
14-Sep-16,2.148
13-Sep-16,2.095
12-Sep-16,2.096
9-Sep-16,2.088
8-Sep-16,2.096
7-Sep-16,2.093
6-Sep-16,2.084
5-Sep-16,2.082
4-Sep-16,2.08
2-Sep-16,2.071
1-Sep-16,2.068
31-Aug-16,2.07
30-Aug-16,2.069
29-Aug-16,2.072
26-Aug-16,2.075
25-Aug-16,2.075
24-Aug-16,2.076
23-Aug-16,2.115
22-Aug-16,2.14
19-Aug-16,2.167
18-Aug-16,2.167
17-Aug-16,2.152
16-Aug-16,2.172
15-Aug-16,2.151
12-Aug-16,2.14
11-Aug-16,2.19
10-Aug-16,2.171
9-Aug-16,2.15
8-Aug-16,2.164
5-Aug-16,2.153
4-Aug-16,2.174
3-Aug-16,2.196
2-Aug-16,2.207
1-Aug-16,2.196
29-Jul-16,2.22
28-Jul-16,2.206
27-Jul-16,2.185
26-Jul-16,2.225
25-Jul-16,2.216
22-Jul-16,2.234
21-Jul-16,2.256
20-Jul-16,2.252
19-Jul-16,2.261
18-Jul-16,2.234
15-Jul-16,2.231
14-Jul-16,2.241
13-Jul-16,2.238
12-Jul-16,2.211
11-Jul-16,2.147
8-Jul-16,2.119
7-Jul-16,2.123
6-Jul-16,2.151
5-Jul-16,2.182
4-Jul-16,2.216
3-Jul-16,2.227
1-Jul-16,2.215
30-Jun-16,2.195
29-Jun-16,2.183
28-Jun-16,2.17
27-Jun-16,2.127
24-Jun-16,2.112
23-Jun-16,2.163
22-Jun-16,2.135
21-Jun-16,2.116
20-Jun-16,2.094
17-Jun-16,2.053
16-Jun-16,2.05
15-Jun-16,2.094
14-Jun-16,2.045
13-Jun-16,2.058
10-Jun-16,2.031
9-Jun-16,2.04
8-Jun-16,2.062
7-Jun-16,2.051
6-Jun-16,2.117
3-Jun-16,2.112
2-Jun-16,2.07
1-Jun-16,2.072
31-May-16,2.098
30-May-16,2.101
29-May-16,2.11
27-May-16,2.114
26-May-16,2.107
25-May-16,2.105
24-May-16,2.07
23-May-16,2.058
20-May-16,2.058
19-May-16,2.063
18-May-16,2.082
17-May-16,2.092
16-May-16,2.091
13-May-16,2.075
12-May-16,2.073
11-May-16,2.101
10-May-16,2.09
9-May-16,2.104
6-May-16,2.151
5-May-16,2.151
4-May-16,2.183
3-May-16,2.215
2-May-16,2.261
29-Apr-16,2.279
28-Apr-16,2.224
27-Apr-16,2.22
26-Apr-16,2.248
25-Apr-16,2.259
22-Apr-16,2.269
21-Apr-16,2.252
20-Apr-16,2.242
19-Apr-16,2.223
18-Apr-16,2.164
15-Apr-16,2.152
14-Apr-16,2.171
13-Apr-16,2.167
12-Apr-16,2.145
11-Apr-16,2.088
8-Apr-16,2.087
7-Apr-16,2.075
6-Apr-16,2.14
5-Apr-16,2.135
4-Apr-16,2.138
1-Apr-16,2.161
31-Mar-16,2.182
30-Mar-16,2.187
29-Mar-16,2.208
28-Mar-16,2.241
24-Mar-16,2.224
23-Mar-16,2.231
22-Mar-16,2.284
21-Mar-16,2.289
18-Mar-16,2.28
17-Mar-16,2.289
16-Mar-16,2.232
15-Mar-16,2.231
14-Mar-16,2.237
11-Mar-16,2.239
10-Mar-16,2.217
9-Mar-16,2.23
8-Mar-16,2.219
7-Mar-16,2.28
4-Mar-16,2.271
3-Mar-16,2.204
2-Mar-16,2.178
1-Mar-16,2.142
29-Feb-16,2.128
26-Feb-16,2.118
25-Feb-16,2.065
24-Feb-16,2.095
23-Feb-16,2.104
22-Feb-16,2.113
19-Feb-16,2.075
18-Feb-16,2.071
17-Feb-16,2.074
16-Feb-16,2.049
15-Feb-16,2.062
14-Feb-16,2.044
12-Feb-16,2.027
11-Feb-16,2.004
10-Feb-16,2.025
9-Feb-16,2.038
8-Feb-16,2.088
5-Feb-16,2.1
4-Feb-16,2.128
3-Feb-16,2.092
2-Feb-16,2.052
1-Feb-16,2.051
29-Jan-16,2.064
28-Jan-16,2.049
27-Jan-16,2.063
26-Jan-16,2.034
25-Jan-16,1.996
22-Jan-16,1.998
21-Jan-16,1.993
20-Jan-16,1.956
19-Jan-16,1.974
18-Jan-16,1.964
17-Jan-16,1.941
15-Jan-16,1.94
14-Jan-16,1.971
13-Jan-16,1.95
12-Jan-16,1.953
11-Jan-16,1.968
8-Jan-16,2.017
7-Jan-16,2.015
6-Jan-16,2.08
5-Jan-16,2.088
4-Jan-16,2.071
31-Dec-15,2.126
30-Dec-15,2.137
29-Dec-15,2.125
28-Dec-15,2.067
24-Dec-15,2.111
23-Dec-15,2.111
22-Dec-15,2.097
21-Dec-15,2.129
18-Dec-15,2.103
17-Dec-15,2.034
16-Dec-15,2.061
15-Dec-15,2.051
14-Dec-15,2.104
11-Dec-15,2.108
10-Dec-15,2.065
9-Dec-15,2.06
8-Dec-15,2.048
7-Dec-15,2.045
4-Dec-15,2.074
3-Dec-15,2.056
2-Dec-15,2.029
1-Dec-15,2.067
30-Nov-15,2.045
27-Nov-15,2.05
26-Nov-15,2.086
25-Nov-15,2.045
24-Nov-15,2.054
23-Nov-15,2.019
20-Nov-15,2.054
19-Nov-15,2.076
18-Nov-15,2.078
17-Nov-15,2.106
16-Nov-15,2.118
13-Nov-15,2.17
12-Nov-15,2.173
11-Nov-15,2.216
10-Nov-15,2.216
9-Nov-15,2.23
6-Nov-15,2.241
5-Nov-15,2.253
4-Nov-15,2.32
3-Nov-15,2.327
2-Nov-15,2.316
30-Oct-15,2.313
29-Oct-15,2.316
28-Oct-15,2.354
27-Oct-15,2.358
26-Oct-15,2.357
23-Oct-15,2.35
22-Oct-15,2.385
21-Oct-15,2.364
20-Oct-15,2.369
19-Oct-15,2.372
16-Oct-15,2.407
15-Oct-15,2.426
14-Oct-15,2.42
13-Oct-15,2.392
12-Oct-15,2.42
9-Oct-15,2.417
8-Oct-15,2.347
7-Oct-15,2.372
6-Oct-15,2.359
5-Oct-15,2.36
2-Oct-15,2.329
1-Oct-15,2.308
30-Sep-15,2.345
29-Sep-15,2.253
28-Sep-15,2.256
25-Sep-15,2.292
24-Sep-15,2.312
23-Sep-15,2.305
22-Sep-15,2.307
21-Sep-15,2.398
18-Sep-15,2.397
17-Sep-15,2.462
16-Sep-15,2.462
15-Sep-15,2.436
14-Sep-15,2.414
11-Sep-15,2.462
10-Sep-15,2.454
9-Sep-15,2.442
8-Sep-15,2.438
7-Sep-15,2.345
6-Sep-15,2.32
4-Sep-15,2.32
3-Sep-15,2.39
2-Sep-15,2.333
1-Sep-15,2.303
31-Aug-15,2.338
28-Aug-15,2.346
27-Aug-15,2.334
26-Aug-15,2.251
25-Aug-15,2.323
24-Aug-15,2.269
21-Aug-15,2.307
20-Aug-15,2.323
19-Aug-15,2.283
18-Aug-15,2.297
17-Aug-15,2.333
14-Aug-15,2.364
13-Aug-15,2.365
12-Aug-15,2.361
11-Aug-15,2.341
10-Aug-15,2.408
7-Aug-15,2.341
6-Aug-15,2.348
5-Aug-15,2.353
4-Aug-15,2.365
3-Aug-15,2.348
31-Jul-15,2.368
30-Jul-15,2.381
29-Jul-15,2.408
28-Jul-15,2.403
27-Jul-15,2.35
24-Jul-15,2.381
23-Jul-15,2.385
22-Jul-15,2.432
21-Jul-15,2.478
20-Jul-15,2.484
17-Jul-15,2.505
16-Jul-15,2.531
15-Jul-15,2.53
14-Jul-15,2.545
13-Jul-15,2.555
10-Jul-15,2.546
9-Jul-15,2.558
