Date,Gold,Silver,Copper,oil,USD,GBP_USD,Heng_sang,N225,digital
12/30/2016,,16.24,2.498,56.82,102.29,1.2338,22000.56,19114.37,0
12/29/2016,1145.9,16.06,2.479,56.14,102.71,1.2263,21790.91,19145.14,0
12/28/2016,1134.6,15.85,2.495,56.22,103.24,1.2226,21754.74,19401.72,0
12/23/2016,,15.74,2.473,55.16,103,1.2292,21574.76,19396.64,1
12/22/2016,1131.35,15.77,2.494,55.05,103.1,1.2283,21636.2,19427.67,0
12/21/2016,1133.65,16.03,2.491,54.46,103.03,1.2354,21809.8,19444.49,1
12/20/2016,1125.7,15.8,2.499,55.35,103.29,1.2367,21729.06,19494.53,0
12/19/2016,1136.25,16,2.497,54.92,102.9,1.24,21832.68,19391.6,1
12/16/2016,1131.6,16.05,2.561,55.21,102.95,1.2497,22020.75,19401.15,0
12/15/2016,1126.95,16.14,2.596,54.02,103.05,1.2419,22059.4,19273.79,0
12/14/2016,1162.25,17.11,2.6,53.9,101.77,1.2565,22456.62,19253.61,1
12/13/2016,1158.55,17.01,2.593,55.72,101.11,1.2658,22446.7,19250.52,0
12/12/2016,1156.1,16.86,2.613,55.69,101.05,1.268,22433.02,19155.03,0
12/9/2016,1163.6,16.95,2.642,54.33,101.62,1.2576,22760.98,18996.37,1
12/8/2016,1171.05,17.13,2.62,53.89,101.12,1.2586,22861.84,18765.47,1
12/7/2016,1177.65,16.77,2.637,53,100.27,1.2622,22800.92,18496.69,1
12/6/2016,1172.5,16.79,2.672,53.93,100.53,1.2677,22675.15,18360.54,0
12/5/2016,1162.2,16.62,2.689,54.94,100.11,1.2733,22505.55,18274.99,0
12/2/2016,1173.5,16.35,2.615,54.46,100.86,1.2729,22564.82,18426.08,1
12/1/2016,1161.85,16.3,2.631,53.94,101.1,1.2593,22878.23,18513.12,0
11/30/2016,1178.1,16.67,2.622,50.47,101.54,1.2505,22789.77,18308.48,1
11/29/2016,1186.55,16.54,2.595,46.38,100.95,1.249,22737.07,18307.04,1
11/28/2016,1187,16.68,2.656,48.24,101.37,1.2415,22830.57,18356.89,1
11/25/2016,1187.7,16.465,2.667,47.24,101.55,1.2476,22723.45,18381.22,1
11/24/2016,1186.1,16.31,2.658,49,101.76,1.2452,22608.49,18333.41,0
11/23/2016,1185.35,16.56,2.606,48.95,101.76,1.244,22676.69,,0
