Date,Price,Open,High,Low,Vol.,Change %
"Dec 30, 2016",1150,1162,1162,1151,0.02K,-0.55
"Dec 29, 2016",1156.4,1143.8,1158.8,1143.6,0.95K,1.49
"Dec 28, 2016",1139.4,1141.2,1141.2,1138,0.21K,0.18
"Dec 27, 2016",1137.3,1134.3,1142.2,1134.3,0.08K,0.24
"Dec 26, 2016",1134.55,1135,1136.05,1134,0,-0.04
"Dec 25, 2016",1135,1135,1135,1135,0,0.27
"Dec 23, 2016",1131.9,1130.9,1132.8,1130.3,0.07K,0.27
"Dec 22, 2016",1128.8,1131.2,1132.8,1128.3,0.10K,-0.2
"Dec 21, 2016",1131.1,1136.1,1136.1,1130,0.05K,-0.04
"Dec 20, 2016",1131.5,1133.5,1133.5,1126.5,0.05K,-0.79
"Dec 19, 2016",1140.5,1139.4,1140.7,1137.9,0.25K,0.46
"Dec 16, 2016",1135.3,1126.9,1140.9,1126.9,0.15K,0.67
"Dec 15, 2016",1127.8,1139.8,1143.3,1123.9,0.24K,-2.88
"Dec 14, 2016",1161.3,1159.8,1164,1142,0.49K,0.4
"Dec 13, 2016",1156.7,1163.5,1164,1155.4,0.64K,-0.58
"Dec 12, 2016",1163.5,1158.3,1163.9,1153,0.33K,0.35
"Dec 09, 2016",1159.4,1166.6,1168.8,1156,0.37K,-0.89
"Dec 08, 2016",1169.8,1173.8,1177.8,1169.1,0.32K,-0.44
"Dec 07, 2016",1175,1167.7,1178.5,1166.4,0.18K,0.63
"Dec 06, 2016",1167.6,1170.9,1174.5,1167.1,0.65K,-0.55
"Dec 05, 2016",1174,1181.8,1186.7,1157,0.36K,-0.09
"Dec 02, 2016",1175.1,1172.3,1177.3,1166.4,1.52K,0.7
"Dec 01, 2016",1166.9,1172.7,1174.6,1160,1.59K,-0.33
"Nov 30, 2016",1170.8,1187.1,1193.3,1167.9,7.16K,-1.44
"Nov 29, 2016",1187.9,1193.2,1194.8,1179.4,42.12K,-0.23
"Nov 28, 2016",1190.6,1188,1190.2,1188,0.02K,1.05
"Nov 25, 2016",1178.2,1177,1189.3,1177,0.01K,-0.62
"Nov 24, 2016",1185.55,1189.2,1190.3,1179.75,0,-0.3
"Nov 23, 2016",1189.1,1212.8,1213.8,1186.8,0.31K,-1.81
"Nov 22, 2016",1211,1210.4,1211.1,1207.6,0.02K,-0.4
"Nov 21, 2016",1215.85,1205.95,1217.35,1205.95,0,0.82
"Nov 20, 2016",1205.95,1207.5,1207.85,1205,0,-0.21
"Nov 18, 2016",1208.5,1211.9,1211.9,1207.2,0.61K,-0.66
"Nov 17, 2016",1216.5,1224.6,1225,1211,1.14K,-0.56
"Nov 16, 2016",1223.4,1229.3,1229.3,1223,0.07K,-0.05
"Nov 15, 2016",1224,1224.3,1226,1222.5,0.02K,0.23
"Nov 14, 2016",1221.2,1227.8,1229.5,1210.4,0.22K,-0.19
"Nov 11, 2016",1223.5,1253.7,1258.7,1219.1,0.60K,-3.32
"Nov 10, 2016",1265.5,1274.4,1287.5,1253.3,0.06K,-0.56
"Nov 09, 2016",1272.6,1272.2,1318.6,1270,0.11K,-0.06
"Nov 08, 2016",1273.4,1284.1,1289.4,1273.2,0.05K,-0.38
"Nov 07, 2016",1278.3,1292,1294.5,1280.2,0.03K,-1.92
"Nov 04, 2016",1303.3,1300,1300,1296.7,0.01K,0.09
"Nov 03, 2016",1302.1,1296.4,1303.1,1287.3,0.07K,-0.36
"Nov 02, 2016",1306.8,1288.3,1307,1288.3,0.03K,1.59
"Nov 01, 2016",1286.4,1279.3,1290.7,1279,0.05K,1.17
"Oct 31, 2016",1271.5,1276.6,1276.6,1272.2,0.06K,-0.31
"Oct 28, 2016",1275.5,1270.3,1281.5,1262,0.56K,0.6
"Oct 27, 2016",1267.9,1269.4,1269.4,1269.4,0.07K,0.25
"Oct 26, 2016",1264.8,1274,1274,1270,0.28K,-0.56
"Oct 25, 2016",1271.9,1264.1,1274.1,1264.1,0.06K,0.78
"Oct 24, 2016",1262,1269.2,1269.2,1261.8,0.04K,-0.4
"Oct 21, 2016",1267.05,1265.55,1268.6,1261.5,0,0.11
"Oct 20, 2016",1265.6,1270,1270.5,1265.5,0.42K,-0.18
"Oct 19, 2016",1267.9,1262.9,1271.5,1262.9,0.22K,0.56
"Oct 18, 2016",1260.8,1260.9,1261.7,1260.9,0.01K,0.51
"Oct 17, 2016",1254.4,1249.9,1255,1249.9,0.04K,0.1
"Oct 14, 2016",1253.1,1253.9,1253.9,1250.6,0.31K,-0.15
"Oct 13, 2016",1255,1258.7,1259,1255.2,0.32K,0.31
"Oct 12, 2016",1251.1,1251.7,1254,1251.7,0.13K,-0.15
"Oct 11, 2016",1253,1258.9,1258.9,1253.8,0.03K,-0.36
"Oct 10, 2016",1257.5,1258.8,1260.4,1256.9,0.03K,0.69
