Date,Price,Open,High,Low,Change %
"Dec 30, 2016",67.955,67.925,68,67.84,0.03
"Dec 29, 2016",67.936,68.222,68.258,67.895,-0.44
"Dec 28, 2016",68.233,67.967,68.261,67.945,0.38
"Dec 27, 2016",67.978,67.81,68.09,67.75,0.32
"Dec 26, 2016",67.76,67.831,67.863,67.695,-0.11
"Dec 23, 2016",67.837,67.835,67.95,67.73,-0.02
"Dec 22, 2016",67.848,67.828,68.04,67.81,0.02
"Dec 21, 2016",67.837,67.907,67.97,67.76,-0.12
"Dec 20, 2016",67.917,67.837,68.111,67.8,0.11
"Dec 19, 2016",67.844,67.84,67.9,67.698,-0.02
"Dec 16, 2016",67.855,67.845,67.88,67.728,0
"Dec 15, 2016",67.857,67.76,67.95,67.678,0.57
"Dec 14, 2016",67.475,67.4,67.605,67.375,0.09
"Dec 13, 2016",67.411,67.418,67.609,67.37,-0.03
"Dec 12, 2016",67.431,67.46,67.649,67.36,-0.06
"Dec 09, 2016",67.47,67.4,67.64,67.358,-0.11
"Dec 08, 2016",67.546,67.435,67.571,67.308,0.16
"Dec 07, 2016",67.438,67.728,67.98,67.415,-0.45
"Dec 06, 2016",67.742,68.016,68.158,67.665,-0.42
"Dec 05, 2016",68.025,68.016,68.275,68.01,-0.01
"Dec 02, 2016",68.031,68.225,68.393,68,-0.3
"Dec 01, 2016",68.236,68.585,68.598,68.18,-0.53
"Nov 30, 2016",68.598,68.605,68.71,68.358,-0.02
"Nov 29, 2016",68.615,68.565,68.776,68.55,0.05
"Nov 28, 2016",68.579,68.508,68.81,68.345,0.09
"Nov 25, 2016",68.519,68.745,68.761,68.29,-0.35
"Nov 24, 2016",68.761,68.8,68.87,68.568,-0.03
"Nov 23, 2016",68.784,68.385,68.881,68.35,0.57
"Nov 22, 2016",68.396,68.215,68.49,68.05,0.25
"Nov 21, 2016",68.228,68.175,68.293,68.01,0.05
"Nov 18, 2016",68.191,68.02,68.25,67.93,0.25
"Nov 17, 2016",68.023,67.975,68.075,67.76,0.04
"Nov 16, 2016",67.999,67.775,68.12,67.608,0.31
"Nov 15, 2016",67.786,67.775,67.875,67.52,0
"Nov 14, 2016",67.785,67.51,67.786,67.45,0.33
"Nov 11, 2016",67.565,67.266,67.565,66.95,1.05
"Nov 10, 2016",66.865,66.457,66.865,66.32,0.53
"Nov 09, 2016",66.515,66.236,66.945,66.217,0.41
"Nov 08, 2016",66.246,66.735,66.748,66.231,-0.75
"Nov 07, 2016",66.745,66.785,66.805,66.666,-0.08
"Nov 04, 2016",66.796,66.655,66.805,66.64,0.19
"Nov 03, 2016",66.668,66.768,66.798,66.62,-0.14
"Nov 02, 2016",66.762,66.685,66.87,66.62,0.1
"Nov 01, 2016",66.696,66.675,66.78,66.65,0.01
"Oct 31, 2016",66.686,66.769,66.8,66.64,-0.14
"Oct 28, 2016",66.778,66.887,66.934,66.684,-0.15
"Oct 27, 2016",66.881,66.852,66.963,66.78,0.03
"Oct 26, 2016",66.863,66.802,66.9,66.748,0.09
"Oct 25, 2016",66.806,66.841,66.94,66.73,-0.06
"Oct 24, 2016",66.845,66.911,66.935,66.756,-0.12
"Oct 21, 2016",66.926,66.842,67.005,66.75,0.14
"Oct 20, 2016",66.83,66.628,66.87,66.6,0.28
"Oct 19, 2016",66.645,66.73,66.775,66.6,-0.13
"Oct 18, 2016",66.733,66.779,66.802,66.64,-0.08
"Oct 17, 2016",66.789,66.707,66.9,66.705,0.11
"Oct 14, 2016",66.717,66.784,66.91,66.63,-0.12
"Oct 13, 2016",66.794,66.817,66.99,66.72,-0.03
"Oct 12, 2016",66.812,66.808,66.885,66.72,-0.03
"Oct 11, 2016",66.834,66.498,66.862,66.484,0.51
"Oct 10, 2016",66.492,66.591,66.62,66.463,-0.17
"Oct 07, 2016",66.602,66.686,66.89,66.525,-0.14
"Oct 06, 2016",66.697,66.564,66.796,66.544,0.19
"Oct 05, 2016",66.572,66.603,66.675,66.495,-0.06
"Oct 04, 2016",66.609,66.484,66.63,66.362,0.09
"Oct 03, 2016",66.546,66.546,66.61,66.42,-0.02
"Sep 30, 2016",66.556,66.792,66.873,66.5,-0.38
"Sep 29, 2016",66.812,66.336,66.955,66.317,0.7
"Sep 28, 2016",66.349,66.46,66.548,66.336,-0.11
"Sep 27, 2016",66.425,66.604,66.712,66.4,-0.28
"Sep 26, 2016",66.613,66.697,66.805,66.537,-0.14
"Sep 23, 2016",66.707,66.625,66.75,66.583,0.11
"Sep 22, 2016",66.633,66.752,66.903,66.52,-0.17
"Sep 21, 2016",66.744,66.978,67.145,66.728,-0.36
"Sep 20, 2016",66.985,66.97,67.07,66.9,0.01
"Sep 19, 2016",66.98,67.066,67.08,66.86,-0.14
"Sep 16, 2016",67.075,66.853,67.12,66.765,0.32
"Sep 15, 2016",66.86,66.788,67.085,66.757,0.09
"Sep 14, 2016",66.798,67.121,67.132,66.776,-0.51
"Sep 13, 2016",67.14,66.728,67.148,66.722,0.6
"Sep 12, 2016",66.738,66.84,66.995,66.717,-0.23
"Sep 09, 2016",66.895,66.628,66.895,66.435,0.4
"Sep 08, 2016",66.631,66.468,66.676,66.355,0.23
"Sep 07, 2016",66.478,66.36,66.506,66.3,0.3
"Sep 06, 2016",66.28,66.53,66.58,66.25,-0.29
"Sep 05, 2016",66.47,66.6,66.665,66.385,-0.49
"Sep 02, 2016",66.795,66.792,66.897,66.575,-0.01
"Sep 01, 2016",66.801,66.951,67.095,66.748,-0.26
"Aug 31, 2016",66.973,67.138,67.155,66.91,-0.25
"Aug 30, 2016",67.144,67.086,67.155,66.924,0.05
"Aug 29, 2016",67.113,67.127,67.215,67.05,-0.03
"Aug 26, 2016",67.136,67.004,67.161,66.821,0.18
"Aug 25, 2016",67.016,67.157,67.167,66.99,-0.22
"Aug 24, 2016",67.167,67.101,67.295,67.035,0.07
"Aug 23, 2016",67.122,67.184,67.211,67.02,-0.12
"Aug 22, 2016",67.202,67.129,67.37,67.085,0.1
"Aug 19, 2016",67.137,66.812,67.205,66.812,0.46
"Aug 18, 2016",66.83,66.894,66.916,66.707,-0.09
"Aug 17, 2016",66.893,66.847,66.986,66.83,0.03
"Aug 16, 2016",66.87,66.855,66.938,66.678,0.03
"Aug 15, 2016",66.853,66.9,66.96,66.782,-0.08
"Aug 12, 2016",66.908,66.74,66.926,66.728,0.24
"Aug 11, 2016",66.75,66.755,66.92,66.728,-0.02
"Aug 10, 2016",66.765,66.761,66.808,66.59,-0.01
"Aug 09, 2016",66.774,66.806,66.985,66.728,-0.05
"Aug 08, 2016",66.81,66.83,66.865,66.663,-0.05
"Aug 05, 2016",66.842,66.833,66.901,66.7,0
"Aug 04, 2016",66.84,66.772,67.01,66.73,0.11
"Aug 03, 2016",66.767,66.677,67.015,66.672,0.13
"Aug 02, 2016",66.682,66.757,66.805,66.56,-0.12
"Aug 01, 2016",66.764,66.71,66.81,66.63,0.16
"Jul 29, 2016",66.655,67.007,67.113,66.6,-0.54
"Jul 28, 2016",67.014,67.048,67.115,66.93,-0.09
"Jul 27, 2016",67.072,67.284,67.379,67.032,-0.37
"Jul 26, 2016",67.321,67.405,67.438,67.245,-0.13
"Jul 25, 2016",67.412,67.139,67.48,67.08,0.38
"Jul 22, 2016",67.154,67.153,67.217,67.032,0
"Jul 21, 2016",67.153,67.164,67.273,67.071,-0.01
"Jul 20, 2016",67.163,67.178,67.255,67.085,-0.06
"Jul 19, 2016",67.204,67.127,67.24,67.053,0.1
"Jul 18, 2016",67.137,67.087,67.22,67.002,-0.01
"Jul 15, 2016",67.141,66.833,67.175,66.833,0.45
"Jul 14, 2016",66.843,66.996,67.042,66.792,-0.26
"Jul 13, 2016",67.016,67.05,67.225,66.925,0.06
"Jul 12, 2016",66.975,67.147,67.22,66.95,-0.24
"Jul 11, 2016",67.138,67.129,67.308,67,0
"Jul 08, 2016",67.139,67.485,67.517,67.06,-0.53
"Jul 07, 2016",67.495,67.394,67.539,67.294,0.12
"Jul 06, 2016",67.411,67.427,67.555,67.35,-0.03
"Jul 05, 2016",67.434,67.245,67.525,67.234,0.25
"Jul 04, 2016",67.265,67.18,67.3,67.108,0.11
"Jul 01, 2016",67.19,67.499,67.514,67.14,-0.47
"Jun 30, 2016",67.504,67.384,67.72,67.384,0.12
"Jun 29, 2016",67.422,67.705,67.85,67.365,-0.43
"Jun 28, 2016",67.715,67.888,67.98,67.64,-0.29
"Jun 27, 2016",67.914,67.879,68.09,67.77,0.04
"Jun 24, 2016",67.885,67.267,68.223,67.237,0.9
"Jun 23, 2016",67.279,67.432,67.48,67.19,-0.25
"Jun 22, 2016",67.449,67.63,67.678,67.332,-0.26
"Jun 21, 2016",67.624,67.487,67.755,67.325,0.11
"Jun 20, 2016",67.551,67.064,67.69,67.063,0.71
"Jun 17, 2016",67.074,67.308,67.318,67.032,-0.36
"Jun 16, 2016",67.315,67.069,67.454,67.067,0.35
"Jun 15, 2016",67.079,67.281,67.353,66.99,-0.32
"Jun 14, 2016",67.292,67.178,67.396,67.051,0.16
"Jun 13, 2016",67.187,66.95,67.22,66.89,0.35
"Jun 10, 2016",66.952,66.773,67.01,66.707,0.3
"Jun 09, 2016",66.753,66.481,66.795,66.463,0.38
"Jun 08, 2016",66.5,66.648,66.821,66.441,-0.24
"Jun 07, 2016",66.658,66.799,66.97,66.625,-0.2
"Jun 06, 2016",66.79,66.877,67.055,66.779,-0.31
"Jun 03, 2016",67,67.275,67.38,66.99,-0.4
"Jun 02, 2016",67.268,67.475,67.51,67.206,-0.25
"Jun 01, 2016",67.434,67.197,67.519,67.11,0.33
"May 31, 2016",67.209,67.16,67.338,67.096,0.06
"May 30, 2016",67.171,67.03,67.38,67.022,0.21
"May 27, 2016",67.031,66.932,67.135,66.865,0.16
"May 26, 2016",66.927,67.29,67.415,66.892,-0.51
"May 25, 2016",67.273,67.62,67.712,67.213,-0.53
"May 24, 2016",67.63,67.419,67.78,67.407,0.33
"May 23, 2016",67.409,67.421,67.59,67.233,0
"May 20, 2016",67.408,67.426,67.545,67.31,-0.04
"May 19, 2016",67.436,67.133,67.61,67.093,0.44
"May 18, 2016",67.14,66.814,67.169,66.814,0.47
"May 17, 2016",66.825,66.835,66.901,66.665,-0.03
"May 16, 2016",66.844,66.915,66.944,66.72,-0.02
"May 13, 2016",66.855,66.748,66.925,66.71,0.15
"May 12, 2016",66.757,66.551,66.781,66.51,0.29
"May 11, 2016",66.561,66.621,66.845,66.51,-0.11
"May 10, 2016",66.631,66.742,66.786,66.532,-0.18
"May 09, 2016",66.752,66.591,66.8,66.385,0.23
"May 06, 2016",66.6,66.558,66.715,66.47,0.06
"May 05, 2016",66.558,66.617,66.675,66.448,-0.1
"May 04, 2016",66.627,66.569,66.689,66.49,0.1
"May 03, 2016",66.558,66.333,66.582,66.225,0.32
"May 02, 2016",66.346,66.415,66.465,66.31,-0.12
"Apr 29, 2016",66.425,66.385,66.57,66.28,0.04
"Apr 28, 2016",66.401,66.381,66.562,66.31,0.06
"Apr 27, 2016",66.362,66.397,66.612,66.334,-0.06
"Apr 26, 2016",66.404,66.683,66.852,66.386,-0.42
"Apr 25, 2016",66.685,66.65,66.765,66.58,0.04
"Apr 22, 2016",66.66,66.492,66.731,66.447,0.26
"Apr 21, 2016",66.489,66.154,66.528,66.154,0.49
"Apr 20, 2016",66.166,66.127,66.36,66.085,0.02
"Apr 19, 2016",66.15,66.407,66.502,66.119,-0.4
"Apr 18, 2016",66.416,66.65,66.72,66.405,-0.37
"Apr 15, 2016",66.66,66.587,66.68,66.459,0.09
"Apr 14, 2016",66.597,66.496,66.69,66.469,0.15
"Apr 13, 2016",66.496,66.267,66.68,66.261,0.32
"Apr 12, 2016",66.283,66.291,66.567,66.262,-0.01
"Apr 11, 2016",66.287,66.545,66.603,66.27,-0.4
"Apr 08, 2016",66.551,66.747,66.787,66.465,-0.31
"Apr 07, 2016",66.757,66.507,66.826,66.412,0.36
"Apr 06, 2016",66.517,66.41,66.745,66.37,0.14
"Apr 05, 2016",66.422,66.102,66.558,66.07,0.48
"Apr 04, 2016",66.106,66.3,66.387,66.014,-0.39
"Apr 01, 2016",66.365,66.345,66.502,66.26,0.17
"Mar 31, 2016",66.255,66.23,66.358,66.12,-0.18
"Mar 30, 2016",66.375,66.29,66.502,66.26,0
"Mar 29, 2016",66.375,66.6,66.66,66.356,-0.35
"Mar 28, 2016",66.608,66.78,66.912,66.501,-0.33
"Mar 25, 2016",66.829,66.906,66.928,66.735,-0.13
"Mar 24, 2016",66.916,66.92,66.948,66.812,-0.02
"Mar 23, 2016",66.93,66.745,66.956,66.615,0.26
"Mar 22, 2016",66.755,66.49,66.84,66.47,0.38
"Mar 21, 2016",66.5,66.373,66.571,66.373,0.17
"Mar 18, 2016",66.384,66.62,66.7,66.246,-0.35
"Mar 17, 2016",66.619,66.9,66.958,66.595,-0.82
"Mar 16, 2016",67.173,67.361,67.46,67.163,-0.3
"Mar 15, 2016",67.372,67.128,67.415,67.126,0.35
"Mar 14, 2016",67.138,66.963,67.246,66.87,0.32
"Mar 11, 2016",66.921,67.293,67.352,66.891,-0.57
"Mar 10, 2016",67.302,67.118,67.373,66.885,0.26
"Mar 09, 2016",67.128,67.315,67.515,67.052,-0.27
"Mar 08, 2016",67.313,66.979,67.47,66.978,0.48
"Mar 07, 2016",66.989,66.979,67.156,66.922,0.08
"Mar 04, 2016",66.938,67.112,67.355,66.871,-0.27
"Mar 03, 2016",67.122,67.4,67.46,67.112,-0.41
"Mar 02, 2016",67.395,67.589,67.765,67.382,-0.53
"Mar 01, 2016",67.753,68.196,68.36,67.667,-0.67
"Feb 29, 2016",68.208,68.727,68.792,68.193,-0.77
"Feb 26, 2016",68.737,68.769,68.86,68.62,-0.05
"Feb 25, 2016",68.768,68.421,68.909,68.374,0.49
"Feb 24, 2016",68.431,68.551,68.66,68.376,-0.19
"Feb 23, 2016",68.561,68.543,68.69,68.45,0.04
"Feb 22, 2016",68.533,68.68,68.725,68.495,-0.02
"Feb 19, 2016",68.545,68.521,68.686,68.511,0
"Feb 18, 2016",68.542,68.312,68.6,68.306,0.31
"Feb 17, 2016",68.329,68.472,68.69,68.304,-0.21
"Feb 16, 2016",68.474,68.13,68.512,68.051,0.5
"Feb 15, 2016",68.131,68.109,68.27,68,0.02
"Feb 12, 2016",68.118,68.461,68.496,68.1,-0.52
"Feb 11, 2016",68.471,67.852,68.489,67.775,0.9
"Feb 10, 2016",67.861,67.9,67.996,67.788,-0.06
"Feb 09, 2016",67.901,68.044,68.22,67.871,-0.2
"Feb 08, 2016",68.034,67.87,68.068,67.77,0.33
"Feb 05, 2016",67.81,67.536,67.84,67.485,0.39
"Feb 04, 2016",67.544,67.75,67.895,67.514,-0.57
"Feb 03, 2016",67.934,67.967,68.265,67.919,-0.06
"Feb 02, 2016",67.975,67.807,68.043,67.754,0.21
"Feb 01, 2016",67.835,67.868,67.97,67.63,-0.06
"Jan 29, 2016",67.878,68.043,68.18,67.775,-0.26
"Jan 28, 2016",68.053,68.14,68.265,68.007,-0.13
"Jan 27, 2016",68.144,67.756,68.185,67.729,0.6
"Jan 26, 2016",67.739,67.717,67.909,67.687,-0.02
"Jan 25, 2016",67.755,67.569,67.85,67.483,0.3
"Jan 22, 2016",67.549,67.816,67.869,67.537,-0.37
"Jan 21, 2016",67.799,67.945,68.12,67.787,-0.23
"Jan 20, 2016",67.958,67.724,68.18,67.721,0.33
"Jan 19, 2016",67.734,67.652,67.8,67.515,0.11
"Jan 18, 2016",67.661,67.781,67.791,67.49,-0.17
"Jan 15, 2016",67.775,67.318,67.869,67.245,0.68
"Jan 14, 2016",67.316,66.908,67.49,66.907,0.6
